data_as_of,start_week,end_week,group,state,indicator,covid_deaths,total_deaths,percent_of_expected_deaths,pneumonia_deaths,pneumonia_and_covid_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_,footnote
2020-08-27T00:00:00.000,0020-02-01T00:00:00.000,0020-02-01T00:00:00.000,By week,United States,Week-ending,0,58535,.99000001,3790,0,479,4269,
2020-08-27T00:00:00.000,0020-02-08T00:00:00.000,0020-02-08T00:00:00.000,By week,United States,Week-ending,1,59268,.99000001,3795,0,520,4316,
2020-08-27T00:00:00.000,0020-02-15T00:00:00.000,0020-02-15T00:00:00.000,By week,United States,Week-ending,0,58672,1,3822,0,555,4377,
2020-08-27T00:00:00.000,0020-02-22T00:00:00.000,0020-02-22T00:00:00.000,By week,United States,Week-ending,5,58709,1.01,3693,1,564,4261,
2020-08-27T00:00:00.000,0020-02-29T00:00:00.000,0020-02-29T00:00:00.000,By week,United States,Week-ending,9,59131,1.03,3817,5,654,4475,
2020-08-27T00:00:00.000,0020-03-07T00:00:00.000,0020-03-07T00:00:00.000,By week,United States,Week-ending,35,59470,1.03,3952,17,631,4600,
2020-08-27T00:00:00.000,0020-03-14T00:00:00.000,0020-03-14T00:00:00.000,By week,United States,Week-ending,52,58180,1.02,3941,27,619,4584,
2020-08-27T00:00:00.000,0020-03-21T00:00:00.000,0020-03-21T00:00:00.000,By week,United States,Week-ending,571,58833,1.04,4520,252,560,5392,
2020-08-27T00:00:00.000,0020-03-28T00:00:00.000,0020-03-28T00:00:00.000,By week,United States,Week-ending,3152,62798,1.12,6161,1425,441,8279,
2020-08-27T00:00:00.000,0020-04-04T00:00:00.000,0020-04-04T00:00:00.000,By week,United States,Week-ending,9997,72061,1.29,9896,4746,478,15389,
2020-08-27T00:00:00.000,0020-04-11T00:00:00.000,0020-04-11T00:00:00.000,By week,United States,Week-ending,16152,78786,1.42,11966,7213,474,21038,
2020-08-27T00:00:00.000,0020-04-18T00:00:00.000,0020-04-18T00:00:00.000,By week,United States,Week-ending,17034,76448,1.41,11366,7292,266,21185,
2020-08-27T00:00:00.000,0020-04-25T00:00:00.000,0020-04-25T00:00:00.000,By week,United States,Week-ending,15387,73503,1.37,10337,6585,143,19186,
2020-08-27T00:00:00.000,0020-05-02T00:00:00.000,0020-05-02T00:00:00.000,By week,United States,Week-ending,13108,68916,1.28,8913,5496,65,16570,
2020-08-27T00:00:00.000,0020-05-09T00:00:00.000,0020-05-09T00:00:00.000,By week,United States,Week-ending,11136,66470,1.26,7802,4693,47,14282,
2020-08-27T00:00:00.000,0020-05-16T00:00:00.000,0020-05-16T00:00:00.000,By week,United States,Week-ending,9131,64110,1.22,6720,3758,21,12111,
