data_as_of,start_week,end_week,group,state,indicator,covid_deaths,total_deaths,percent_of_expected_deaths,pneumonia_deaths,pneumonia_and_covid_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_,footnote
2020-06-23T00:00:00.000,2020-02-01T00:00:00.000,2020-02-01T00:00:00.000,By week,United States,Week-ending,1,58112,.98000002,3764,0,476,4241,
2020-06-23T00:00:00.000,2020-02-08T00:00:00.000,2020-02-08T00:00:00.000,By week,United States,Week-ending,1,58644,.98000002,3745,0,515,4261,
2020-06-23T00:00:00.000,2020-02-15T00:00:00.000,2020-02-15T00:00:00.000,By week,United States,Week-ending,0,57826,.98000002,3762,0,548,4310,
2020-06-23T00:00:00.000,2020-02-22T00:00:00.000,2020-02-22T00:00:00.000,By week,United States,Week-ending,4,57846,.99000001,3638,1,557,4198,
2020-06-23T00:00:00.000,2020-02-29T00:00:00.000,2020-02-29T00:00:00.000,By week,United States,Week-ending,5,58231,1.01,3760,3,637,4399,
2020-06-23T00:00:00.000,2020-03-07T00:00:00.000,2020-03-07T00:00:00.000,By week,United States,Week-ending,32,58489,1.01,3897,16,619,4531,
2020-06-23T00:00:00.000,2020-03-14T00:00:00.000,2020-03-14T00:00:00.000,By week,United States,Week-ending,52,57389,1.01,3880,27,608,4512,
2020-06-23T00:00:00.000,2020-03-21T00:00:00.000,2020-03-21T00:00:00.000,By week,United States,Week-ending,548,58023,1.02,4461,245,542,5300,
2020-06-23T00:00:00.000,2020-03-28T00:00:00.000,2020-03-28T00:00:00.000,By week,United States,Week-ending,3045,61999,1.11,6038,1372,438,8099,
2020-06-23T00:00:00.000,2020-04-04T00:00:00.000,2020-04-04T00:00:00.000,By week,United States,Week-ending,9491,70624,1.26,9605,4540,460,14793,
2020-06-23T00:00:00.000,2020-04-11T00:00:00.000,2020-04-11T00:00:00.000,By week,United States,Week-ending,15681,77119,1.39,11687,7025,467,20472,
2020-06-23T00:00:00.000,2020-04-18T00:00:00.000,2020-04-18T00:00:00.000,By week,United States,Week-ending,16326,74476,1.38,10960,6981,260,20379,
2020-06-23T00:00:00.000,2020-04-25T00:00:00.000,2020-04-25T00:00:00.000,By week,United States,Week-ending,14072,70578,1.3099999,9673,6027,142,17764,
2020-06-23T00:00:00.000,2020-05-02T00:00:00.000,2020-05-02T00:00:00.000,By week,United States,Week-ending,11629,65465,1.22,8183,4919,60,14933,
2020-06-23T00:00:00.000,2020-05-09T00:00:00.000,2020-05-09T00:00:00.000,By week,United States,Week-ending,10660,63108,1.2,7424,4510,46,13611,
2020-06-23T00:00:00.000,2020-05-16T00:00:00.000,2020-05-16T00:00:00.000,By week,United States,Week-ending,8633,59427,1.13,6296,3573,19,11372,
2020-06-23T00:00:00.000,2020-05-23T00:00:00.000,2020-05-23T00:00:00.000,By week,United States,Week-ending,6501,55282,1.0599999,5299,2731,19,9087,
2020-06-23T00:00:00.000,2020-05-30T00:00:00.000,2020-05-30T00:00:00.000,By week,United States,Week-ending,5192,51512,.99000001,4489,2114,10,7577,
2020-06-23T00:00:00.000,2020-06-06T00:00:00.000,2020-06-06T00:00:00.000,By week,United States,Week-ending,3502,45745,.85000002,3595,1510,8,5595,
2020-06-23T00:00:00.000,2020-06-13T00:00:00.000,2020-06-13T00:00:00.000,By week,United States,Week-ending,1260,30509,.51999998,1889,550,4,2603,
2020-06-23T00:00:00.000,2020-06-20T00:00:00.000,2020-06-20T00:00:00.000,By week,United States,Week-ending,155,8813,.12,496,64,1,588,
